"X","ID","ag","pov_final","genre","mc_calc"
279,"2010_Patterson,James_9thJudgment_BS.txt.csv","M","1p","BS","N"
280,"2010_Patterson,James_CrossFire_BS.txt.csv","M","1p","BS","Y"
281,"2010_Picoult,Jodi_HouseRules_BS.txt.csv","F","1p","BS","Y"
282,"2010_Roberts,Nora_SavortheMoment_BS.txt.csv","F","3p","BS","Y"
283,"2010_Sandford,John_StolenPrey_BS.txt.csv","M","3p","BS","Y"
284,"2010_Sparks,Nicholas_SafeHaven_BS.txt.csv","M","3p","BS","Y"
286,"2011_Baldacci,David_OneSummer_BS.txt.csv","M","3p","BS","Y"
287,"2011_Baldacci,David_TheSixthMan_BS.txt.csv","M","3p","BS","Y"
288,"2011_Baldacci,David_ZeroDay_BS.txt.csv","M","3p","BS","Y"
289,"2011_Brown,Sandra_Lethal_BS.txt.csv","F","3p","BS","Y"
290,"2011_Chan,Darcie_TheMillRiverRecluse_BS.txt.csv","F","3p","BS","Y"
291,"2011_Child,Lee_TheAffair_BS.txt.csv","M","3p","BS","Y"
292,"2011_Clancy,Tom_AgainstAllEnemies_BS.txt.csv","M","3p","BS","Y"
293,"2011_Clancy,Tom_LockedOn_BS.txt.csv","M","3p","BS","Y"
294,"2011_Clark,MaryHiggins_IllWalkAlone_BS.txt.csv","F","3p","BS","Y"
295,"2011_Connelly,Michael_TheDrop_BS.txt.csv","M","3p","BS","Y"
296,"2011_Connelly,Michael_TheFifthWitness_BS.txt.csv","M","1p","BS","Y"
297,"2011_Cussler,Clive_Jungle_BS.txt.csv","M","3p","BS","Y"
298,"2011_Eugenides,Jeffrey_MarriagePlot_BS.txt.csv","M","3p","BS","Y"
299,"2011_Evanovich,Janet_ExplosiveEighteen_BS.txt.csv","F","1p","BS","Y"
300,"2011_Evanovich,Janet_SmokinSeventeen_BS.txt.csv","F","1p","BS","Y"
301,"2011_Gardner,Lisa_LoveYouMore_BS.txt.csv","F","1p","BS","Y"
302,"2011_Grafton,Sue_VisForVengeance_BS.txt.csv","F","1p","BS","Y"
303,"2011_Grisham,John_TheLitigators_BS.txt.csv","M","3p","BS","Y"
304,"2011_Harkness,Deborah_DiscoveryofW_BS.txt.csv","F","1p","BS","Y"
305,"2011_Harris,Charlaine_DeadReckoning_BS.txt.csv","F","1p","BS","Y"
306,"2011_James,EL_FiftyShadesofGrey_BS.txt.csv","F","1p","BS","Y"
307,"2011_James,PD_DeathComestoPemberley_BS.txt.csv","F","3p","BS","Y"
308,"2011_King,Stephen_112263_BS.txt.csv","M","1p","BS","Y"
309,"2011_King,Stephen_DoctorSleep_BS.txt.csv","M","3p","BS","Y"
310,"2011_Martin,George_ADancewithDragons_BS.txt.csv","M","3p","BS","Y"
311,"2011_Morgenstern,Erin_NightCircus_BS.txt.csv","F","3p","BS","Y"
312,"2011_Patchett,Ann_StateofWonder_BS.txt.csv","F","3p","BS","Y"
313,"2011_Patterson,James_10thAnniversary_BS.txt.csv","M","1p","BS","Y"
314,"2011_Patterson,James_ChristmasWedding_BS.txt.csv","M","1p","BS","Y"
315,"2011_Patterson,James_KillAlexCross_BS.txt.csv","M","1p","BS","Y"
316,"2011_Patterson,James_KillMeIfYouCan_BS.txt.csv","M","1p","BS","Y"
317,"2011_Patterson,James_NowYouSeeHer_BS.txt.csv","M","1p","BS","Y"
318,"2011_Patterson,James_TickTock_BS.txt.csv","M","1p","BS","Y"
319,"2011_Patterson,James_Toys_BS.txt.csv","M","1p","BS","Y"
320,"2011_Picoult,Jodi_SingYouHome_BS.txt.csv","F","1p","BS","Y"
